Area,Elevacao
100,84.65782166
98.70028123,94.65782166
94.08456117,104.6578217
88.03608318,114.6578217
80.46061117,124.6578217
70.25392004,134.6578217
56.30439362,144.6578217
43.62539126,154.6578217
31.88098907,164.6578217
23.67949386,174.6578217
17.50351999,184.6578217
12.75660854,194.6578217
9.636100918,204.6578217
8.021522781,214.6578217
7.281307627,224.6578217
6.746933632,234.6578217
6.26984039,244.6578217
5.875157522,254.6578217
5.513734446,264.6578217
5.237308618,274.6578217
5.004859625,284.6578217
4.804931319,294.6578217
4.630871739,304.6578217
4.472333396,314.6578217
4.328577183,324.6578217
4.185190523,334.6578217
4.027021733,344.6578217
3.688510959,354.6578217
3.283850154,364.6578217
2.807126465,374.6578217
2.405422085,384.6578217
2.122344298,394.6578217
1.889895306,404.6578217
1.704749129,414.6578217
1.55803649,424.6578217
1.434605705,434.6578217
1.324478838,444.6578217
1.222112588,454.6578217
1.120115892,464.6578217
1.024401601,474.6578217
0.933491502,484.6578217
0.845168276,494.6578217
0.749084432,504.6578217
0.660022099,514.6578217
0.581307258,524.6578217
0.509983481,534.6578217
0.447159429,544.6578217
0.388400463,554.6578217
0.326315517,564.6578217
0.259426379,574.6578217
0.188102603,584.6578217
0.145603979,594.6578217
0.111235527,604.6578217
0.073910649,614.6578217
0.044715943,624.6578217
0.027716494,634.6578217
0.016629896,644.6578217
0.006282405,654.6578217
0.001478213,664.6578217
0.000369553,674.6578217
