Area,Elevacao
100,155.468338
98.66587372,165.468338
95.89652096,175.468338
91.18049361,185.468338
83.45723065,195.468338
76.12845674,205.468338
70.73049856,215.468338
64.99752205,225.468338
59.45286946,235.468338
54.05689365,245.468338
47.26335613,255.468338
41.75438596,265.468338
37.02448211,275.468338
32.49876103,285.468338
28.91069482,295.468338
25.4336406,305.468338
22.67023491,315.468338
20.55307761,325.468338
19.04252156,335.468338
17.76786599,345.468338
16.53880464,355.468338
15.44652592,365.468338
14.3681237,375.468338
13.28179205,385.468338
12.20537219,395.468338
11.25582317,405.468338
10.39151551,415.468338
9.62037863,425.468338
8.902765388,435.468338
8.214887501,445.468338
7.580533254,455.468338
6.898602438,465.468338
6.169095054,475.468338
5.445534741,485.468338
4.813162851,495.468338
4.230349886,505.468338
3.707007632,515.468338
3.239171375,525.468338
2.818911686,535.468338
2.485875706,545.468338
2.154822083,555.468338
1.879274457,565.468338
1.611656259,575.468338
1.37179106,585.468338
1.159678858,595.468338
0.943601943,605.468338
0.75924274,615.468338
0.59272475,625.468338
0.453959758,635.468338
0.331053623,645.468338
0.247794628,655.468338
0.182376846,665.468338
0.140747349,675.468338
0.097135494,685.468338
0.059470711,695.468338
0.029735355,705.468338
0.007929428,715.468338
