Area,Elevacao
100,182.7266846
99.28624981,192.7266846
96.87509372,202.7266846
92.81351527,212.7266846
87.53336332,222.7266846
81.09961513,232.7266846
74.15804468,242.7266846
65.70500325,252.7266846
57.04203529,262.7266846
50.06247813,272.7266846
44.02459139,282.7266846
38.58849403,292.7266846
33.92712551,302.7266846
29.74558904,312.7266846
25.96391263,322.7266846
23.14389964,332.7266846
21.28555006,342.7266846
19.66111861,352.7266846
18.32758535,362.7266846
17.03003949,372.7266846
15.94441945,382.7266846
14.65287149,392.7266846
13.54126056,402.7266846
12.71055131,412.7266846
12.11675913,422.7266846
11.57994702,432.7266846
11.05213175,442.7266846
10.52131754,452.7266846
10.01149598,462.7266846
9.55365622,472.7266846
9.113810166,482.7266846
8.687959214,492.7266846
8.316089369,502.7266846
7.99920028,512.7266846
7.698305593,522.7266846
7.397410906,532.7266846
7.095516569,542.7266846
6.793622232,552.7266846
6.523716699,562.7266846
6.273804169,572.7266846
6.033888139,582.7266846
5.778977358,592.7266846
5.54805818,602.7266846
5.319138302,612.7266846
5.108212126,622.7266846
4.89928525,632.7266846
4.674363973,642.7266846
4.468436047,652.7266846
4.269505673,662.7266846
4.068575998,672.7266846
3.889638626,682.7266846
3.684710351,692.7266846
3.473784176,702.7266846
3.285849953,712.7266846
3.072924476,722.7266846
2.879992003,732.7266846
2.69105813,742.7266846
2.525116209,752.7266846
2.347178488,762.7266846
2.183235867,772.7266846
2.025291148,782.7266846
1.872344679,792.7266846
1.722397161,802.7266846
1.592442645,812.7266846
1.460488829,822.7266846
1.332533613,832.7266846
1.182586095,842.7266846
1.05762983,852.7266846
0.947668316,862.7266846
0.862698056,872.7266846
0.781726396,882.7266846
0.694756835,892.7266846
0.605787974,902.7266846
0.523816664,912.7266846
0.443844654,922.7266846
0.372869496,932.7266846
0.291897836,942.7266846
0.230919178,952.7266846
0.177937722,962.7266846
0.133953116,972.7266846
0.094966762,982.7266846
0.065976908,992.7266846
0.034987754,1002.726685
0.015994402,1012.726685
0.0019993,1022.726685
