Area,Elevacao
100,182.1574097
97.05983514,192.1574097
87.34981913,202.1574097
67.63209393,212.1574097
44.03486924,222.1574097
24.82476428,232.1574097
14.04732254,242.1574097
9.513135267,252.1574097
7.388958074,262.1574097
6.055861946,272.1574097
5.064342051,282.1574097
4.181936785,292.1574097
3.261578604,302.1574097
2.334104252,312.1574097
1.663998102,322.1574097
1.154005812,332.1574097
0.792267094,342.1574097
0.565735634,352.1574097
0.405621775,362.1574097
0.29294906,372.1574097
0.203996916,382.1574097
0.120974915,392.1574097
0.056929372,402.1574097
0.032022772,412.1574097
0.018976457,422.1574097
0.009488229,432.1574097
0.001186029,442.1574097
